Date,Bitcoin,M1,PHILA,NASDAQ,SP500,Energy,Materials,Industrials,Consumer.Discretionary,Consumer.Staples,Health.Care,Financials,IT,Communication.Services,Utilities,Real.Estate,Gold,Bond10yr,Bond2yr,Oil,dollar_index,CPI,PPI,UNRATE,FEDFUNDS
2014.10.1,383.61499,2953.2,640.9,4422.1,1946.2,648.7,305.4,449.5,522.2,462.3,732.3,308.6,649.1,159.5,215.1,166.5,1173.92,2.304090909,0.5,80.53,92.1961,1.60954,203.4,5.7,0.09
2014.11.1,325.748993,2871.1,685.7,4630.7,2018.1,641.3,304.4,474.8,540,480.9,778.9,321.2,670.9,160.8,230.9,181.2,1167.04,2.325555556,0.47,65.94,93.5413,1.23152,200.9,5.8,0.09
2014.12.1,379.244995,3172.3,686.9,4727.3,2053.4,588.7,304.9,481.8,562.3,503.4,802.1,325.6,696.4,161,233,187,1183.55,2.207272727,0.67,53.45,95.4132,0.65312,197,5.6,0.12
2015.1.1,314.248993,2978.3,653.1,4736.1,2058.9,586.6,305.3,486.5,572.7,499.6,792,333.3,691.9,152.5,240.1,187.9,1282.8,1.8815,0.47,47.79,97.1631,-0.22993,192,5.7,0.11
2015.2.1,226.972,3005,714.6,4635.2,1995,557.9,299.2,468.5,554.8,493.2,801.3,310,664.9,149.1,245.8,198.8,1212.55,1.975263158,0.63,49.84,98.5221,-0.08703,191.1,5.5,0.11
2015.3.1,260.201996,3169.7,695.5,4963.5,2104.5,577.5,322.6,492.9,601.7,513.8,834.4,327.5,717.4,159,228.7,192.7,1183.1,2.042727273,0.56,47.72,100.4929,-0.02203,191.5,5.4,0.11
2015.4.1,247.272003,3108.6,686.3,4880.2,2059.7,566.8,306.9,475.8,595.2,501.6,830.3,324.4,690.1,154.2,225.9,193.3,1183.85,1.935,0.58,59.62,99.5796,-0.10403,190.9,5.4,0.12
2015.5.1,232.078995,3031.1,745.4,5005.4,2108.3,604.8,321.5,485,605.7,500.9,840,327.8,719.3,159.6,225.8,185.3,1189.75,2.1975,0.61,60.25,98.7777,0.03503,193.4,5.6,0.12
2015.6.1,222.925995,3188.8,680.5,5082.9,2111.7,570.1,316.8,481.4,606.3,500.1,867.7,331.2,725.8,156.3,225,184.8,1172.2,2.363636364,0.64,59.48,99.5688,0.17957,194.8,5.3,0.13
2015.7.1,258.621002,3114.7,646.3,5013.1,2077.4,543.9,305,468.2,613.5,495.1,868.6,333.1,696.2,154.2,211.8,176.7,1095.4,2.324545455,0.67,47.11,101.3881,0.22569,193.9,5.2,0.13
2015.8.1,281.601013,3144,611,5128.3,2103.8,508.1,288.2,467,635.8,515.2,884.7,338.8,712,151.7,223.2,183.6,1134.1,2.167142857,0.74,49.2,103.0204,0.2413,191.9,5.1,0.14
2015.9.1,228.121002,3146.2,602.7,4636.1,1913.9,466.5,263,429.1,578.6,474,792.1,304.3,648.1,142.8,208.5,170.1,1114.6,2.172857143,0.64,45.06,103.6137,0.00884,189.1,5,0.14
2015.10.1,237.548996,3085.4,662.5,4627.1,1923.8,451.6,253.6,431,593.7,484.8,772.9,305.7,663.3,140.1,217.2,177.7,1142,2.07,0.75,46.6,102.6589,0.12762,187.5,5,0.12
2015.11.1,325.431,3193.6,677.1,5053.7,2079.4,502.1,284.6,471.2,642.3,512.2,825,324,734.3,149.4,222.1,188.9,1064.02,2.263157895,0.94,40.43,104.3576,0.43632,185.7,5.1,0.12
2015.12.1,362.488007,3312,663.5,5156.3,2102.6,501.8,288.4,476.8,646.5,509.8,834.2,333.7,746.8,148,217.7,190.1,1060.91,2.242727273,1.06,37.13,105.1564,0.63872,183.5,5,0.24
2016.1.1,434.334015,3103.2,613.7,5007.4,2043.9,448.4,273.6,463.5,621,518.4,833.2,321.7,721.5,149.9,220,190.2,1117.64,2.085263158,0.76,33.66,107.4507,1.2375,182.6,4.8,0.34
2016.2.1,373.056,3248.4,622.1,4620.4,1939.4,426.5,245.6,435.2,591.7,521.9,769.8,291.2,687.5,159.6,233.2,181.7,1237.76,1.7795,0.78,32.74,106.1185,0.84728,181.3,4.9,0.38
2016.3.1,435.122986,3356.8,676.9,4689.6,1978.4,432.9,269.2,460.9,605.7,526.5,780.4,293.7,696.4,164.6,232.8,184.2,1231.95,1.889090909,0.73,36.94,103.9727,0.89162,182.1,5,0.36
2016.4.1,417.959991,3306.9,645.3,4914.5,2072.8,456,283.7,484.4,631.6,550.4,793.8,306.2,743.5,172.2,252.9,197.6,1293.36,1.805238095,0.77,45.98,102.4939,1.17263,183.2,5.1,0.37
2016.5.1,451.875,3345.8,699.4,4775.4,2065.3,502.4,295.6,487.6,628.8,535.6,806.3,313.6,696.8,167.1,245.8,192.7,1214.69,1.806190476,0.87,49.1,103.5629,1.07848,185.3,4.8,0.37
2016.6.1,536.919983,3354.4,691.7,4952.3,2099.3,497.3,294.8,483.8,627.9,543.1,825.5,320.2,731.7,165.4,249,194.9,1321.78,1.644090909,0.58,48.27,104.0124,1.07929,187.6,4.9,0.38
2016.7.1,676.296021,3291.5,766.8,4862.6,2103,514.8,290.8,489.3,625.9,563.3,834.2,306.8,714,183.9,266.6,206.6,1350.59,1.504,0.67,41.54,104.6885,0.86836,187.7,4.8,0.39
2016.8.1,606.271973,3465.2,801.5,5184.2,2170.8,485.5,303.3,503.3,648.6,560.7,874.9,318.1,771.8,180.9,264.7,213.7,1308.45,1.556521739,0.8,44.68,103.8655,1.05532,186.6,4.9,0.4
2016.9.1,572.302979,3381.6,835.6,5227.2,2170.9,504.1,305.4,506.6,639.8,556.6,837.6,329,785.6,172.7,247.5,204.4,1315.8,1.63047619,0.77,47.72,104.7519,1.54864,186.9,5,0.4
2016.10.1,613.982971,3482.8,823.5,5312,2168.3,520.4,299.9,504.9,636,546.5,833.8,320.8,801.7,170.6,248.8,200.8,1277.28,1.7645,0.86,46.83,105.8193,1.68592,186.7,4.9,0.4
2016.11.1,729.79303,3463.6,879.5,5153.6,2111.7,505.4,291.9,490.4,615.3,538.7,775,326.5,794.1,156.2,246.4,185.7,1172.7,2.142,1.11,49.41,108.2387,1.68433,186.3,4.7,0.41
2016.12.1,756.773987,3519.3,906.5,5251.1,2191.1,546.1,312.5,540.5,649.1,513.3,786.1,378.7,777.7,163.9,233.7,180.4,1151.46,2.491904762,1.2,53.75,109.9566,2.0508,188.2,4.7,0.54
2017.1.1,998.325012,3517.9,944.3,5383.1,2238.8,554.5,312.2,538.1,647.8,531.8,796.9,386.5,807.9,176.6,246.8,190.2,1210.51,2.4325,1.19,52.75,109.741,2.51039,190.7,4.7,0.65
2017.2.1,989.02301,3495.8,969.4,5642.7,2279.6,530.3,328.3,544.7,673.7,536.4,819.9,387.1,849.4,169.2,245.5,187.8,1248.52,2.418947368,1.22,54,108.3447,2.81036,191.6,4.6,0.66
2017.3.1,1222.5,3594.6,1011.4,5904,2396,530.4,334.1,573.3,694.1,567.9,873.6,417.9,897.1,170.5,259,197.8,1248.63,2.48173913,1.27,50.54,107.643,2.4412,191.5,4.4,0.79
2017.4.1,1080.5,3518.4,1005.5,5911.7,2362.7,514,328.7,559.6,700.2,561.8,859.8,394.6,906.2,167.7,260.2,195.4,1267.65,2.297368421,1.28,49.31,106.6414,2.17622,193,4.4,0.9
2017.5.1,1421.599976,3667.7,1091.4,6091.6,2388.3,497.8,332.8,567.3,717.2,563.7,873.6,392.8,936.2,159.1,260.5,196.6,1268.09,2.303636364,1.28,48.29,106.0076,1.85634,192.8,4.4,0.91
2017.6.1,2407.879883,3649.9,1034.9,6246.8,2430.1,482.4,335.9,579.9,730,585.8,887.9,389.9,969.6,159.7,273.6,197,1241.2,2.186818182,1.38,46.02,104.5973,1.64057,193.6,4.3,1.04
2017.7.1,2434.550049,3726,1085.2,6140.4,2423.4,477.9,337.4,582.9,714.1,566.8,916.9,409.6,940.3,154,263.8,199,1269.05,2.318,1.34,50.21,102.8722,1.72511,193.5,4.3,1.15
2017.8.1,2718.26001,3729.4,1114.3,6362.9,2476.4,489.9,342.6,581.7,728.2,568.5,921.1,419.5,985.6,162.3,271.4,202,1321.6,2.209130435,1.33,47.26,101.9149,1.92812,193.8,4.4,1.16
2017.9.1,4892.009766,3599.2,1171.7,6435.3,2476.6,465.4,346.9,582.9,715.4,564.1,937.5,410.2,1011.7,156.9,276.4,202.8,1279.1,2.202,1.47,51.67,101.2806,2.18057,194.8,4.3,1.15
