Date,Bitcoin,M1,PHILA,NASDAQ,SP500,Energy,Materials,Industrials,Consumer.Discretionary,Consumer.Staples,Health.Care,Financials,IT,Communication.Services,Utilities,Real.Estate,Gold,Bond10yr,Bond2yr,Oil
2014-09-15,398.821014,2750.6,632.237,4518.902,1984.13,683.28516,313.1305,463.47092,538.2965,464.0066,734.3261,314.19284,660.7022,157.57886,213.8535,168.30666,"1,233.00",2.6,0.58,92.86
2014-09-22,377.181,2826.5,641.354,4527.688,1994.29,675.5215,318.21945,464.2586,535.677,468.10184,747.27466,316.6886,663.23083,162.0623,214.76039,167.2877,"1,215.05",2.57,0.58,91.46
2014-09-29,320.51001,2979.3,644.232,4505.852,1977.8,669.10913,316.22568,458.48965,531.7673,464.97504,744.37823,312.83432,658.37067,160.58784,213.57072,166.97865,"1,215.95",2.5,0.58,94.53
2014-10-06,378.549011,2827.3,617.965,4454.801,1964.82,647.08795,305.32263,453.58035,528.11084,468.42114,742.1804,313.17908,654.226,161.61879,216.19931,167.86899,"1,207.15",2.43,0.54,90.33
2014-10-13,389.54599,2759.7,549.471,4213.656,1874.74,596.21375,284.05215,427.0187,501.51465,464.1352,711.20856,301.382,619.36414,154.80313,218.04573,169.38799,"1,237.15",.,.,85.73
2014-10-20,354.70401,2842.7,584.147,4316.074,1904.01,611.50757,297.84467,444.8794,514.1144,466.6595,716.3541,302.4417,624.47235,156.24881,221.63356,174.42523,"1,246.60",2.2,0.37,82.76
2014-10-27,325.891998,2953.2,614.231,4485.934,1961.63,615.4751,297.59558,462.3567,527.14557,473.71732,755.3536,311.5638,649.58563,157.70245,225.96463,178.30965,"1,225.40",2.27,0.41,81.26
2014-11-03,363.264008,3017.7,644.767,4638.906,2017.81,630.1571,302.04773,473.7953,540.0463,482.6132,779.03705,322.20844,673.54694,161.11668,232.5329,182.85336,"1,165.35",2.36,0.52,78.77
2014-11-10,387.881989,2769.9,642.253,4651.617,2038.26,637.4497,306.57587,484.70935,538.7631,493.1789,783.00006,326.5703,676.7256,161.3969,235.78049,182.80829,"1,150.60",2.38,0.55,77.43
2014-11-17,367.572998,2776.7,642.545,4671.004,2041.32,627.15375,309.3801,483.08847,548.4017,494.64575,781.08435,323.7665,686.04266,164.4394,230.5021,181.81348,"1,186.55",2.34,0.54,75.64
2014-11-24,378.046997,2871.1,669.466,4754.891,2069.41,640.8818,316.3967,492.26443,560.43713,498.06952,792.84595,327.85828,694.90906,159.48923,229.2482,184.36938,"1,197.40",2.3,0.53,75.74
2014-12-01,375.095001,2978,676.693,4727.348,2053.44,588.7375,304.8995,481.79126,562.28815,503.4004,802.06964,325.64252,696.3985,161.0331,232.99562,186.96225,"1,210.90",2.22,0.49,68.98
2014-12-08,351.631989,2837.4,693.004,4740.691,2060.31,568.43463,306.62125,485.0206,561.3758,500.2901,820.01605,335.06857,692.45435,156.454,233.45241,187.16888,"1,203.20",2.26,0.64,63.13
2014-12-15,320.842987,2884.2,665.714,4605.156,1989.63,540.02515,290.7078,468.3908,549.8058,488.17172,786.8891,321.3081,673.03485,147.27486,229.76793,184.18443,"1,192.60",2.12,0.6,55.96
2014-12-22,317.239014,3030.6,696.681,4781.426,2078.54,591.0113,307.0739,491.29147,567.6204,505.80548,807.5312,335.36734,704.5552,154.41046,239.16371,191.7895,"1,175.05",2.17,0.71,55.25
2014-12-29,264.195007,3172.3,695.076,4806.91,2090.57,594.75964,308.98093,493.853,576.97266,507.86743,803.0694,337.83984,705.2698,155.04567,249.87254,191.34654,"1,183.10",2.22,0.72,53.46
2015-01-05,265.660004,3030.2,673.587,4652.574,2020.58,565.6016,297.63788,474.4678,557.30963,494.00073,790.2247,326.42712,678.71686,151.80266,238.3541,190.87614,"1,204.45",2.04,0.68,50.05
2015-01-12,210.339005,2839,671.824,4664.707,2028.26,552.0002,303.13254,472.73242,559.67645,504.30978,812.68353,322.59915,680.37305,152.43744,240.4496,198.13312,"1,233.64",1.92,0.56,46.06
2015-01-12,210.339005,2839,671.824,4664.707,2028.26,552.0002,303.13254,472.73242,559.67645,504.30978,812.68353,322.59915,680.37305,152.43744,240.4496,198.13312,"1,233.64",1.92,0.56,46.06
2015-01-26,226.972,2978.3,682.391,4771.762,2057.09,576.1801,304.2917,481.41635,565.5215,510.87354,825.01105,322.02615,690.41473,152.07745,250.04346,204.3426,"1,281.24",1.83,0.54,44.8
2015-02-02,223.412003,3093.4,655.187,4676.688,2020.85,574.68195,302.04288,475.53824,559.7259,499.70822,806.216,315.03198,671.8361,152.76154,246.83646,198.99817,"1,275.44",1.68,0.49,49.25
