,DATE,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS
0,2009-01-01,285.4,98.4978,-0.11359,171.2,7.8,0.15
1,2009-02-01,301.1,101.2777,0.00846,169.3,8.3,0.22
2,2009-03-01,329.4,101.5551,-0.44648,168.1,8.7,0.18
3,2009-04-01,322.5,98.9088,-0.57632,169.1,9.0,0.15
4,2009-05-01,311.1,95.7544,-1.01576,170.8,9.4,0.18
5,2009-06-01,324.5,94.8371,-1.22917,174.1,9.5,0.21
6,2009-07-01,330.1,94.3994,-1.95876,172.5,9.5,0.16
7,2009-08-01,326.4,93.1647,-1.48384,175.0,9.6,0.16
8,2009-09-01,331.7,92.516,-1.37794,174.1,9.8,0.15
9,2009-10-01,348.1,91.2633,-0.22397,175.2,10.0,0.12
10,2009-11-01,364.3,90.7882,1.91459,177.4,9.9,0.12
11,2009-12-01,392.3,91.134,2.81412,178.1,9.9,0.12
12,2010-01-01,394.8,91.0113,2.62111,181.9,9.8,0.11
13,2010-02-01,390.1,92.2001,2.15134,181.0,9.8,0.13
14,2010-03-01,382.4,91.307,2.28617,183.3,9.9,0.16
15,2010-04-01,388.5,90.6567,2.20677,184.4,9.9,0.2
16,2010-05-01,400.6,93.2821,2.00355,184.8,9.6,0.2
17,2010-06-01,420.5,93.6541,1.12156,183.5,9.4,0.18
18,2010-07-01,430.1,92.0368,1.34078,184.1,9.4,0.18
19,2010-08-01,415.8,91.2327,1.15018,184.9,9.5,0.19
20,2010-09-01,424.5,90.2473,1.11831,184.9,9.5,0.19
21,2010-10-01,444.4,87.6975,1.1667,186.6,9.4,0.19
22,2010-11-01,468.9,87.813,1.08454,187.7,9.8,0.19
23,2010-12-01,478.3,88.5156,1.43779,189.7,9.3,0.18
24,2011-01-01,485.5,87.4314,1.70078,192.7,9.1,0.17
25,2011-02-01,473.5,86.8075,2.1249,195.8,9.0,0.16
26,2011-03-01,479.4,86.0335,2.61924,199.2,9.0,0.14
27,2011-04-01,497.0,84.5775,3.07723,203.1,9.1,0.1
28,2011-05-01,516.2,84.669,3.45897,204.1,9.0,0.09
29,2011-06-01,527.3,84.5171,3.50232,203.9,9.1,0.09
30,2011-07-01,532.2,83.9181,3.57988,204.6,9.0,0.07
31,2011-08-01,551.2,84.5805,3.755,203.2,9.0,0.1
32,2011-09-01,614.4,87.2829,3.81262,203.7,9.0,0.08
33,2011-10-01,613.1,87.9434,3.52227,201.1,8.8,0.07
34,2011-11-01,581.8,88.5596,3.45143,201.4,8.6,0.08
35,2011-12-01,607.7,89.3626,3.06207,199.8,8.5,0.07
36,2012-01-01,573.2,88.6911,3.00877,200.7,8.3,0.08
37,2012-02-01,580.5,87.2421,2.89818,201.6,8.3,0.1
38,2012-03-01,607.2,87.6616,2.58288,204.2,8.2,0.13
39,2012-04-01,583.7,87.8891,2.27316,203.7,8.2,0.14
40,2012-05-01,575.8,89.291,1.73794,201.9,8.2,0.16
41,2012-06-01,554.4,90.5237,1.65387,199.8,8.2,0.16
42,2012-07-01,557.7,89.9635,1.41751,200.1,8.2,0.16
43,2012-08-01,556.0,89.3097,1.68593,202.7,8.1,0.13
44,2012-09-01,569.3,87.9956,1.94972,204.4,7.8,0.14
45,2012-10-01,610.2,87.862,2.15568,203.5,7.8,0.16
46,2012-11-01,608.7,88.2712,1.79602,201.8,7.7,0.16
47,2012-12-01,599.4,87.4993,1.7595,201.5,7.9,0.16
48,2013-01-01,588.1,87.4151,1.68406,202.5,8.0,0.14
49,2013-02-01,582.8,88.2934,2.01814,204.3,7.7,0.15
50,2013-03-01,567.9,88.7804,1.51875,204.0,7.5,0.14
51,2013-04-01,555.7,88.0315,1.13881,203.5,7.6,0.15
52,2013-05-01,520.2,88.4325,1.39039,204.1,7.5,0.11
53,2013-06-01,494.5,89.1504,1.71579,204.3,7.5,0.09
54,2013-07-01,467.6,89.7055,1.88547,204.4,7.3,0.09
55,2013-08-01,450.7,89.6156,1.53881,204.2,7.2,0.08
56,2013-09-01,472.0,89.1652,1.09473,203.9,7.2,0.08
57,2013-10-01,469.8,88.1608,0.8768,202.5,7.2,0.09
58,2013-11-01,459.7,88.9136,1.23287,201.2,6.9,0.08
59,2013-12-01,446.0,89.0915,1.51284,202.0,6.7,0.09
60,2014-01-01,427.1,89.9847,1.55776,203.8,6.6,0.07
61,2014-02-01,435.4,90.1132,1.12047,205.7,6.7,0.07
62,2014-03-01,455.1,89.9381,1.61269,207.0,6.7,0.08
63,2014-04-01,466.1,89.4064,2.01513,208.3,6.2,0.09
64,2014-05-01,453.5,89.0903,2.16695,208.0,6.3,0.09
65,2014-06-01,435.9,89.1931,2.05898,208.3,6.1,0.1
66,2014-07-01,461.6,88.9493,1.97424,208.0,6.2,0.09
67,2014-08-01,453.9,89.7629,1.7151,207.0,6.1,0.09
68,2014-09-01,442.8,91.0855,1.68405,206.4,5.9,0.09
69,2014-10-01,423.5,92.1961,1.60954,203.4,5.7,0.09
70,2014-11-01,404.0,93.5413,1.23152,200.9,5.8,0.09
71,2014-12-01,419.4,95.4132,0.65312,197.0,5.6,0.12
72,2015-01-01,423.4,97.1631,-0.22993,192.0,5.7,0.11
73,2015-02-01,440.8,98.5221,-0.08703,191.1,5.5,0.11
74,2015-03-01,419.7,100.4929,-0.02203,191.5,5.4,0.11
75,2015-04-01,422.3,99.5796,-0.10403,190.9,5.4,0.12
76,2015-05-01,416.5,98.7777,0.03503,193.4,5.6,0.12
77,2015-06-01,414.4,99.5688,0.17957,194.8,5.3,0.13
78,2015-07-01,408.9,101.3881,0.22569,193.9,5.2,0.13
79,2015-08-01,381.6,103.0204,0.2413,191.9,5.1,0.14
80,2015-09-01,395.5,103.6137,0.00884,189.1,5.0,0.14
81,2015-10-01,400.3,102.6589,0.12762,187.5,5.0,0.12
82,2015-11-01,389.5,104.3576,0.43632,185.7,5.1,0.12
83,2015-12-01,372.3,105.1564,0.63872,183.5,5.0,0.24
84,2016-01-01,381.9,107.4507,1.2375,182.6,4.8,0.34
85,2016-02-01,398.7,106.1185,0.84728,181.3,4.9,0.38
86,2016-03-01,436.1,103.9727,0.89162,182.1,5.0,0.36
87,2016-04-01,430.7,102.4939,1.17263,183.2,5.1,0.37
88,2016-05-01,450.2,103.5629,1.07848,185.3,4.8,0.37
89,2016-06-01,426.8,104.0124,1.07929,187.6,4.9,0.38
90,2016-07-01,474.2,104.6885,0.86836,187.7,4.8,0.39
91,2016-08-01,473.8,103.8655,1.05532,186.6,4.9,0.4
92,2016-09-01,468.4,104.7519,1.54864,186.9,5.0,0.4
93,2016-10-01,446.4,105.8193,1.68592,186.7,4.9,0.4
94,2016-11-01,452.1,108.2387,1.68433,186.3,4.7,0.41
95,2016-12-01,409.0,109.9566,2.0508,188.2,4.7,0.54
96,2017-01-01,407.8,109.741,2.51039,190.7,4.7,0.65
97,2017-02-01,422.6,108.3447,2.81036,191.6,4.6,0.66
98,2017-03-01,434.5,107.643,2.4412,191.5,4.4,0.79
99,2017-04-01,438.2,106.6414,2.17622,193.0,4.4,0.9
100,2017-05-01,435.4,106.0076,1.85634,192.8,4.4,0.91
101,2017-06-01,447.6,104.5973,1.64057,193.6,4.3,1.04
102,2017-07-01,427.4,102.8722,1.72511,193.5,4.3,1.15
103,2017-08-01,442.8,101.9149,1.92812,193.8,4.4,1.16
104,2017-09-01,468.5,101.2806,2.18057,194.8,4.3,1.15
105,2017-10-01,444.6,103.082,2.02076,194.9,4.2,1.15
106,2017-11-01,445.4,103.2524,2.17249,195.9,4.2,1.16
107,2017-12-01,441.5,102.9402,2.12993,196.3,4.1,1.3
108,2018-01-01,460.3,100.7851,2.15132,197.9,4.0,1.41
109,2018-02-01,463.0,100.2085,2.26347,199.3,4.1,1.42
110,2018-03-01,463.3,100.4215,2.33095,199.3,4.0,1.51
111,2018-04-01,466.1,100.5398,2.471,200.3,4.0,1.69
112,2018-05-01,458.0,103.5158,2.78192,203.2,3.8,1.7
113,2018-06-01,453.5,105.0682,2.80755,204.2,4.0,1.82
114,2018-07-01,438.1,105.0457,2.85412,204.3,3.8,1.91
115,2018-08-01,426.3,105.6219,2.64292,203.4,3.8,1.91
116,2018-09-01,419.2,105.8258,2.33206,203.6,3.7,1.95
117,2018-10-01,420.0,106.553,2.49203,204.6,3.8,2.19
118,2018-11-01,428.4,107.7341,2.14733,202.3,3.8,2.2
119,2018-12-01,433.9,107.7834,2.00238,201.0,3.9,2.27
120,2019-01-01,449.0,106.1347,1.55068,199.1,4.0,2.4
121,2019-02-01,460.0,106.1721,1.52006,199.2,3.8,2.4
122,2019-03-01,451.8,106.5446,1.85314,200.8,3.8,2.41
123,2019-04-01,451.9,106.6761,1.99179,202.1,3.6,2.42
124,2019-05-01,448.3,107.4405,1.79352,201.7,3.7,2.39
125,2019-06-01,465.8,106.7952,1.64968,200.3,3.6,2.38
126,2019-07-01,489.4,106.5229,1.77976,200.7,3.7,2.4
127,2019-08-01,519.6,108.3844,1.74678,199.2,3.7,2.13
128,2019-09-01,536.2,108.5786,1.71662,198.4,3.5,2.04
129,2019-10-01,523.3,108.0547,1.76918,198.6,3.6,1.83
130,2019-11-01,521.1,107.8614,2.0622,199.0,3.6,1.55
131,2019-12-01,516.0,107.2283,2.31399,199.0,3.6,1.55
132,2020-01-01,536.4,106.6311,2.50042,199.3,3.5,1.55
133,2020-02-01,549.3,107.9814,2.33932,196.7,3.5,1.58
134,2020-03-01,575.2,111.8287,1.54287,193.1,4.4,0.65
135,2020-04-01,564.1,113.4168,0.3452,185.5,14.7,0.05
136,2020-05-01,596.5,112.7341,0.22641,188.6,13.2,0.05
137,2020-06-01,600.0,110.0856,0.71602,191.2,11.0,0.08
138,2020-07-01,621.8,109.4308,1.01414,193.0,10.2,0.09
139,2020-08-01,706.2,108.1889,1.30907,194.3,8.4,0.1
140,2020-09-01,684.0,107.7764,1.37148,195.5,7.9,0.09
141,2020-10-01,667.1,107.2355,1.18253,196.5,6.9,0.09
142,2020-11-01,671.2,105.9291,1.16756,198.3,6.7,0.09
143,2020-12-01,636.4,103.9977,1.32204,200.5,6.7,0.09
144,2021-01-01,673.2,103.3433,1.39478,204.8,6.3,0.09
145,2021-02-01,639.6,104.018,1.69336,210.6,6.2,0.08
146,2021-03-01,601.9,105.4659,2.63052,215.0,6.1,0.07
147,2021-04-01,611.2,105.1724,4.13055,217.9,6.1,0.07
148,2021-05-01,633.7,104.2247,4.91503,224.9,5.8,0.06
149,2021-06-01,663.6,105.0971,5.28161,228.9,5.9,0.08
150,2021-07-01,634.3,106.5289,5.22151,231.85,5.4,0.1
151,2021-08-01,633.5,106.9307,5.18829,233.415,5.2,0.09
152,2021-09-01,635.7,107.0951,5.38363,235.678,4.8,0.08
153,2021-10-01,617.9,108.0264,6.23775,240.465,4.5,0.08
154,2021-11-01,627.8,109.1959,6.86239,243.287,4.2,0.08
155,2021-12-01,626.1,110.4104,7.19446,241.338,3.9,0.08
156,2022-01-01,633.6,109.8912,7.59528,246.453,4.0,0.08
157,2022-02-01,632.7,109.981,7.95485,252.66,3.8,0.08
158,2022-03-01,676.1,111.2585,8.51522,260.014,3.6,0.2
159,2022-04-01,678.5,111.6661,8.22777,265.31,3.6,0.33
160,2022-05-01,658.0,114.2695,8.50233,273.251,3.6,0.77
161,2022-06-01,650.0,115.1354,8.93299,280.251,3.6,1.21
162,2022-07-01,616.0,117.0496,8.41318,272.274,3.5,1.68
163,2022-08-01,621.0,116.6419,8.22736,269.546,3.7,2.33
164,2022-09-01,599.3,119.5248,8.21485,267.898,3.5,2.56
165,2022-10-01,595.5,121.1596,7.76249,265.061,3.7,3.08
166,2022-11-01,577.9,118.75,7.13535,263.157,3.6,3.78
167,2022-12-01,625.2,116.312,6.44494,257.921,3.5,4.1
168,2023-01-01,647.1,114.2407,6.34716,260.213,3.4,4.33
169,2023-02-01,671.3,114.9701,5.98644,258.697,3.6,4.57
170,2023-03-01,642.1,115.1963,4.98692,257.022,3.5,4.65
