,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
0,2014-10-01,383.61499,"1,173.92",92.1961,1.60954,203.4,5.7,0.09,80.53,0.5,2.3040909090909087,640.9,2953.2,4422.1,1946.2,648.7,305.4,449.5,522.2,462.3,732.3,308.6,649.1,159.5,215.1,166.5,3.4,4.6
1,2014-11-01,325.748993,"1,167.04",93.5413,1.23152,200.9,5.8,0.09,65.94,0.47,2.325555555555556,685.7,2871.1,4630.7,2018.1,641.3,304.4,474.8,540.0,480.9,778.9,321.2,670.9,160.8,230.9,181.2,2.8,4.9
2,2014-12-01,379.244995,"1,183.55",95.4132,0.65312,197.0,5.6,0.12,53.45,0.67,2.2072727272727275,686.9,3172.3,4727.3,2053.4,588.7,304.9,481.8,562.3,503.4,802.1,325.6,696.4,161.0,233.0,187.0,2.7,5.1
3,2015-01-01,314.248993,"1,282.80",97.1631,-0.22993,192.0,5.7,0.11,47.79,0.47,1.8815,653.1,2978.3,4736.1,2058.9,586.6,305.3,486.5,572.7,499.6,792.0,333.3,691.9,152.5,240.1,187.9,2.7,5.0
4,2015-02-01,226.972,"1,212.55",98.5221,-0.08703,191.1,5.5,0.11,49.84,0.63,1.9752631578947368,714.6,3005.0,4635.2,1995.0,557.9,299.2,468.5,554.8,493.2,801.3,310.0,664.9,149.1,245.8,198.8,2.6,4.8
5,2015-03-01,260.201996,"1,183.10",100.4929,-0.02203,191.5,5.4,0.11,47.72,0.56,2.042727272727273,695.5,3169.7,4963.5,2104.5,577.5,322.6,492.9,601.7,513.8,834.4,327.5,717.4,159.0,228.7,192.7,3.1,5.5
6,2015-04-01,247.272003,"1,183.85",99.5796,-0.10403,190.9,5.4,0.12,59.62,0.58,1.935,686.3,3108.6,4880.2,2059.7,566.8,306.9,475.8,595.2,501.6,830.3,324.4,690.1,154.2,225.9,193.3,2.7,5.3
7,2015-05-01,232.078995,"1,189.75",98.7777,0.03503,193.4,5.6,0.12,60.25,0.61,2.1975,745.4,3031.1,5005.4,2108.3,604.8,321.5,485.0,605.7,500.9,840.0,327.8,719.3,159.6,225.8,185.3,2.3,5.7
8,2015-06-01,222.925995,"1,172.20",99.5688,0.17957,194.8,5.3,0.13,59.48,0.64,2.363636363636364,680.5,3188.8,5082.9,2111.7,570.1,316.8,481.4,606.3,500.1,867.7,331.2,725.8,156.3,225.0,184.8,2.3,5.6
9,2015-07-01,258.621002,"1,095.40",101.3881,0.22569,193.9,5.2,0.13,47.11,0.67,2.3245454545454542,646.3,3114.7,5013.1,2077.4,543.9,305.0,468.2,613.5,495.1,868.6,333.1,696.2,154.2,211.8,176.7,2.4,5.1
10,2015-08-01,281.601013,"1,134.10",103.0204,0.2413,191.9,5.1,0.14,49.2,0.74,2.167142857142857,611.0,3144.0,5128.3,2103.8,508.1,288.2,467.0,635.8,515.2,884.7,338.8,712.0,151.7,223.2,183.6,1.9,5.0
